lat,lon,u_current,v_current,u_wind,v_wind
5.0,60.0,0.2271,-0.1800,6.215,-2.234
5.0,63.0,0.2248,-0.1954,6.147,-2.234
5.0,66.0,0.2227,-0.2104,6.068,-2.234
5.0,69.0,0.2208,-0.2247,5.979,-2.234
5.0,72.0,0.2191,-0.2379,5.881,-2.234
5.0,75.0,0.2176,-0.2496,5.776,-2.234
5.0,78.0,0.2164,-0.2597,5.664,-2.234
8.5,60.0,0.2185,-0.1800,6.171,-2.297
8.5,63.0,0.2147,-0.1950,6.102,-2.297
8.5,66.0,0.2112,-0.2096,6.023,-2.297
8.5,69.0,0.2080,-0.2234,5.935,-2.297
8.5,72.0,0.2052,-0.2362,5.837,-2.297
8.5,75.0,0.2027,-0.2476,5.732,-2.297
8.5,78.0,0.2007,-0.2574,5.620,-2.297
12.0,60.0,0.2106,-0.1800,6.107,-2.391
12.0,63.0,0.2055,-0.1943,6.038,-2.391
12.0,66.0,0.2007,-0.2082,5.959,-2.391
12.0,69.0,0.1963,-0.2215,5.871,-2.391
12.0,72.0,0.1924,-0.2337,5.773,-2.391
12.0,75.0,0.1891,-0.2446,5.668,-2.391
12.0,78.0,0.1863,-0.2539,5.556,-2.391
15.5,60.0,0.2037,-0.1800,6.027,-2.512
15.5,63.0,0.1974,-0.1934,5.959,-2.512
15.5,66.0,0.1915,-0.2065,5.880,-2.512
15.5,69.0,0.1861,-0.2189,5.791,-2.512
15.5,72.0,0.1813,-0.2304,5.693,-2.512
15.5,75.0,0.1772,-0.2406,5.588,-2.512
15.5,78.0,0.1737,-0.2493,5.476,-2.512
19.0,60.0,0.1981,-0.1800,5.936,-2.655
19.0,63.0,0.1907,-0.1923,5.868,-2.655
19.0,66.0,0.1839,-0.2044,5.789,-2.655
19.0,69.0,0.1777,-0.2158,5.700,-2.655
19.0,72.0,0.1722,-0.2263,5.602,-2.655
19.0,75.0,0.1674,-0.2357,5.497,-2.655
19.0,78.0,0.1634,-0.2438,5.385,-2.655
22.5,60.0,0.1938,-0.1800,5.839,-2.817
22.5,63.0,0.1857,-0.1911,5.771,-2.817
22.5,66.0,0.1782,-0.2019,5.692,-2.817
22.5,69.0,0.1713,-0.2121,5.603,-2.817
22.5,72.0,0.1653,-0.2216,5.505,-2.817
22.5,75.0,0.1600,-0.2300,5.400,-2.817
22.5,78.0,0.1556,-0.2372,5.288,-2.817
26.0,60.0,0.1911,-0.1800,5.742,-2.992
26.0,63.0,0.1825,-0.1896,5.674,-2.992
26.0,66.0,0.1745,-0.1990,5.595,-2.992
26.0,69.0,0.1673,-0.2080,5.506,-2.992
26.0,72.0,0.1609,-0.2162,5.409,-2.992
26.0,75.0,0.1553,-0.2235,5.303,-2.992
26.0,78.0,0.1506,-0.2298,5.191,-2.992
